GA_LH_000009_A	Eskimoiske eventyr og sagn	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1866		Sikker	København	Danmark	Europa	Rink, Henrik J.	15	23			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Kjøbenhavn: C.A. Reitzels bogtrykkeri, 1866. Fullstendig tittel: "Eskimoiske eventyr og sagn. Oversatte efter de indfødte fortællers opskrifter og meddelelser ". Illustrert med originale tresnitt, tegnet og skåret av grønlendere. Fotomontasje av Lars Möller. Løse vedlegg: grafisk blad i tresnitt.	Lysten og hemmeligheten, ARKIV, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000010	Grönlandske Folkesagn. Kaladlit okalluktualliait. Bind 4	Bøker	Grønland	Minoritetskulturer	Inuitt		Sikker	1863		Sikker	Nuuk 	Grønland	Europa	Rink, Henrik J.	13.4	20.8			Trykk på papir, innbundet.						IKKE merket	Korea	Godthaab: L. Møller, 1863. Noter: "Opskrevne og meddelte af Indfødte, med dansk Oversættelse, med Træsnit, tegnede og udskaarene af en Indfødt". Illustrasjoner i tresnitt. Tekst på grønlandsk og dansk.	Lysten og hemmeligheten, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000011	Held og hasard. Dolk og guitar	Bøker	Artist's books			1	Sikker	1952		Sikker	Silkeborg	Danmark	Europa	Jorn, Asger	19.2	26			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			Silkeborg: Privattryk, 1952. Nr. 21 av 25 nummererte og signerte eksemplarer. Illustrasjoner i linoleumssnitt, håndtrykket på imitert bøttepapir. Trykket i tre opplag med ulike papirkvaliteter, i henholdsvis 24, 64 og 25 eksemplarer. 	Lysten og hemmeligheten, originalgrafikk, 1950-1959	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000012	La langue verte et la cuite	Bøker	Artist's books			0	Sikker	1968		Sikker	Paris	Frankrike	Europa	Jorn, Asger & Arnaud, Nöel	22.2	27.5			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 2	Høyre			Paris: Jean-Jacques Pauvert, 1968. Fullstendig tittel: "La langue verte et la cuite. Étude gastrophonique sur la marmythologie musiculinaire". 	Lysten og hemmeligheten, 1960-1969	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000009_B	Eskimoiske eventyr og sagn med supplement	Bøker	Grønland	Minoritetskulturer	Inuitt	1	Sikker	1871		Sikker	København	Danmark	Europa	Rink, Henrik J.	15	23			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Venstre			Kjøbenhavn: C.A. Reitzels bogtrykkeri, 1871. Fullstendig tittel: "Eskimoiske eventyr og sagn med supplement, indeholdende et tillæg om ekimoerne, deres kulturtrin og øvrige eiendommeligheternsamt formodede herkomst". 	Lysten og hemmeligheten, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000013	Historia de la Curación de Antigua de San Paolito Pahuatlan Pue	Bøker	Artist's books				Sikker	1978			San Pablito	Mexico	Sør-Amerika	Tellez, Alfonso García	14	18									IKKE merket	Korea	Mexico: Alfonso García Tellez, 1978. Håndskrevet tekst. Illustrasjoner i utskåret barkepapir.	Lysten og hemmeligheten, ARKIV,  leporello, utklipp, religiøse tekster, 1970-1979	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000014_B	Gart der Gesundheit	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1485		Sikker	Mainz	Tyskland	Europa	Cube, Johannes von	19.3	26.5			Trykk på papir.		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Mainz 1485. Trykket av Peter Schöffer, Mainz. Fire originale enkeltsider fra boka "Gart der Gesundheit". Tekst og illustrasjoner i tresnitt (blokktrykk). Inngår i plansjeverket "Der Buchholzschnitt im 15. Jahrhundert" (München: Weiss & Co, 1929).	Lysten og hemmeligheten, botanikk, 1400-1499	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000015	XII. Caesarvm liber primvs. D. Ivlivs Caesar	Bøker	Inkunabler	Bøker	Typografiske	1	Sikker	1480		Sikker	Subiaco	Italia	Europa	Tranquillus, Gaius Suetonius	20.3	30.2			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 2	Venstre			Subiaco 1480. 	Lysten og hemmeligheten, typografi, 1400-1499	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000014_C	Weltchronik 	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1493		Sikker	Nürnberg	Tyskland	Europa	Schedel, Hartman	31.4	34.3			Trykk på papir.		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Nürnberg 1493. Utgitt av trykker og forlegger Anton Koberger. To originale enkeltsider fra boka "Weltchronik". Tekst og illustrasjoner i tresnitt (blokktrykk). Inngår i plansjeverket "Der Buchholzschnitt im 15. Jahrhundert" (München: Weiss & Co, 1929).	Lysten og hemmeligheten, 1400-1499	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000014_D	Geistliche Auslegung des Lebens Jesu Christi	Bøker	Inkunabler	Bøker	Illustrerte		Usikker	1485		Sikker	Ulm	Tyskland	Europa	Sachsen, Ludolf von	18.6	25.4			Trykk på papir.		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Ulm: Johann Zainer, ca. 1485. Original enkeltside fra boka "Geistliche Auslegung des Lebens Jesu Christi". Tekst og illustrasjoner i tresnitt (blokktrykk). Inngår i plansjeverket "Der Buchholzschnitt im 15. Jahrhundert" (München: Weiss & Co, 1929). 	Lysten og hemmeligheten, 1400-1499	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000014_E	Hortus sanitatis	Bøker	Inkunabler	Bøker	Illustrerte	1	Sikker	1491		Sikker	Mainz	Tyskland	Europa	Meydenbach, Jakob	19.8	29			Trykk på papir.		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Mainz: Jakob Meydenbach, 1491. Original enkeltside fra boka "Hortus sanitatis". Tekst og illustrasjoner i tresnitt (blokktrykk). Inngår i plansjeverket "Der Buchholzschnitt im 15. Jahrhundert" (München: Weiss & Co, 1929).	Lysten og hemmeligheten, 1400-1499	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000019	Della simmetria dei corpi hvmani, libri quattro	Bøker	Artist's books	Bøker	1550-1750	1	Sikker	1591		Sikker	Venezia	Italia	Europa	Dürer, Albrecht	22.8	31.9			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 2	Venstre			Venezia: Presso Domenico Nicolini, 1591. Fullstendig tittel: "Di Alberto Dvrero pittore, e geometria chiarissimo. Della simmetria dei corpi humani, libri quattro".  Illustrasjoner i tresnitt.	Lysten og hemmeligheten, anatomi, lærebøker, 1500-1599	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000020	Divina commedia	Bøker	1550-1750			1	Sikker	1578		Sikker	Venezia	Italia	Europa	Dante, Alighieri	22.8	32			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 2	Venstre			Venezia: Appresso Giouambattista, Marchiò Sessa, et Fratelli, 1578. Fullstendig tittel: "Dante con l'espositione di Christoforo Landino, et di Alessandro Vellvtello, sopra la sua comedia dell' Inferno, del Purgatorio, & del Paradiso. Con tauole, argomenti, & allegorie, & riformato, riueduto, & ridotto alla sua uera lettura, per Francesco Sansovino fiorentino".  Illustrasjoner i tresnitt.	Lysten og hemmeligheten, 1500-1599	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000021	Il Negromante	Bøker	1550-1750	Bøker	Illustrerte	1	Sikker	1553		Sikker	Venezia	Italia	Europa	Aristo, Ludovico	9	14.3			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Venezia 1553. Illustrasjoner i tresnitt.	Lysten og hemmeligheten, 1500-1599	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000022	Indiæ Orientalis pars octava	Bøker	Illustrerte	Bøker	1550-1750	1	Sikker	1607		Sikker	Frankfurt	Tyskland	Europa	Dantiscano, M. Gotardo Arthvs	19.8	31			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 2	Venstre			Frankfurt: Wolfgangi Richteri, 1607. Illustrasjoner i kobberstikk.	Lysten og hemmeligheten, latin, 1600-1699	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000023	A Description of the Body of Man	Bøker	Illustrerte	Bøker	1550-1750	1	Sikker	1634		Sikker	London	Storbritania	Europa	Rhead, Alexander & Crooke, Helkiah & Paré, Ambroise 	12.5	19.3			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			London: Printed for Michael Sparke, 1634. To deler med separat paginering. Del 1: "A Description of the Body of Man". Del 2: "An Explanation of the Fashion and Vse of three and fifty Instruments of Chirvrgery Gathered out of Ambrosius Pareus, the famous French Chirurgion". Illustrasjoner i tresnitt.	Lysten og hemmeligheten, ARKIV, vitenskap, anatomi, 1600-1699	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000024	Historiae animalium liber de quadrupedibus et de avibus	Bøker	Illustrerte	Bøker	1550-1750	1	Sikker	1617		Sikker	Frankfurt	Tyskland	Europa	Gessner, Conrad	23	36.5			Trykk på papir.		Magasinet	Reol A2	Hylle 1	Venstre, liggende	IKKE merket		Frankfurt 1617. Bok om zoologi. Illustrasjoner i tresnitt. 	Lysten og hemmeligheten, 1600-1699	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000025	The Book of Common Prayer	Bøker	Typografiske	Bøker	1550-1750	1	Sikker	1717		Sikker	London	Storbritannia	Europa	Den engelske kirke	12.5	20.8			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			London: Den engelske kirke, 1717. Fullstendig tittel: "The Book of Common Prayer. Engraved and Printed by the Permission of Mr. John Baskett Printer to the King's most Exellent Majesty".  Tekst og illustrasjoner i kobberstikk.	Lysten og hemmeligheten, religiøse tekster, 1700-1799	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000026	Fables 	Bøker	Illustrerte			1	Sikker	1793		Sikker	London	Storbritannia	Europa	Gay, John	16	27			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			London: John Stockdale, 1793. Illustrasjoner i kobberstikk, derav 12 originaltrykk av William Blake.	Lysten og hemmeligheten, originalgrafikk, 1700-1799	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000027	A Tour Through Sweden, Swedish-Lapland, Finland and Denmark	Bøker	Illustrerte	Bøker	Reise	1	Sikker	1789		Sikker	London	Storbritannia	Europa	Consett, Matthew	23	28			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			London: 1789. Fullstendig tittel: "A Tour Through Sweden, Swedish-Lapland, Finland and Denmark. In a series of letters, illustrated with engravings". Med 7 kobberstikk og ett tresnitt av Thomas Bewick,.	Lysten og hemmeligheten, Lappland, 1700-1799	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000028	History of British Birds	Bøker	Bewick, Thomas	Bøker	Illustrerte	1	Sikker	1804		Sikker	Newcastle	Storbritannia	Europa	Bewick, Thomas	15	23.6			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			Newcastle:  T. Bewick, 1804. Bind 1.  Illustrasjoner i xylografi av Thomas Bewick. 	Lysten og hemmeligheten, naturhistorie, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
