 rowkey	date	refer-url	http-code
calendar.boston.com/search	2008-01-25 15:20:39	calendar.boston.com/search	200
events.triangle.com/search	2008-01-25 15:20:43	events.triangle.com/movies/show/1391-atonement	200
calendar.boston.com/search	2008-01-25 15:20:48	calendar.boston.com/	200
www.zvents.com/url/redir/235052	2008-01-25 15:20:48	www.zvents.com/washington-dc/events/show/80792918-barry-manilow	302
events.squeezeoc.com/search	2008-01-25 15:20:49	events.squeezeoc.com/search	200
events.getoutaz.com/phoenix-az/events/show/81263901-new-england-patriots-fan-club-of-arizona-party	2008-01-25 15:20:50	events.getoutaz.com/phoenix-az/events/show/81263901-new-england-patriots-fan-club-of-arizona-party	200
www.zvents.com/amarillo-tx/events/show/81053387-rodney-carrington	2008-01-25 15:20:50	www.google.com/search	200
events.detnews.com/detroit-mi/venues/show/451097-new-foundation-christian-center	2008-01-25 15:20:51	www.google.com/ie	200
events.ocregister.com/irvine-ca/venues/show/27638-prego-ristorante	2008-01-25 15:20:52	www.google.com/search	200
www.zvents.com/santa-cruz-ca/events/show/81272884-ron-white-you-can-t-fix-stupid	2008-01-25 15:20:54	www.google.com/search	200
calendar.denverpost.com/venues/geocode/	2008-01-25 15:20:54	calendar.denverpost.com/events/create	200
calendar.denverpost.com/venues/geocode/	2008-01-25 15:20:55	calendar.denverpost.com/events/create	200
www.zvents.com/search	2008-01-25 15:20:58	www.zvents.com/search	200
www.zvents.com/performers/show/31255-marvin-hamlisch	2008-01-25 15:20:58	www.google.com/search	200
www.zvents.com/search	2008-01-25 15:20:59	www.zvents.com/search	200
www.zvents.com/movies/show/3054-there-will-be-blood	2008-01-25 15:21:00	www.zvents.com/sacramento-ca/venues/show/45016-regal-natomas-stadium-16	200
events.ocregister.com/irvine-ca/events/show/81165358-bamboozle-left	2008-01-25 15:21:02	events.ocregister.com/irvine-ca/venues/show/24333-verizon-wireless-amphitheater-irvine-meadows	200
calendar.northjersey.com/search	2008-01-25 15:21:04	calendar.northjersey.com/kinnelon-nj/venues/show/43878-clearview-kinnelon-11	200
www.zvents.com/tucson-az/venues/show/478020-tower-theatres-at-arizona-pavilions	2008-01-25 15:21:04	www.google.com/search	200
calendar.boston.com/search	2008-01-25 15:21:06	calendar.boston.com/search	200
calendar.northjersey.com/linden-nj/venues/show/101335-amc-aviation-12	2008-01-25 15:21:06	www.google.com/search	200
www.zvents.com/venues/show_theater_showtimes/43818	2008-01-25 15:21:08	www.zvents.com/flemington-nj/venues/show/43818-americanplace-movies-cinema-plaza-6	200
calendar.boston.com/search	2008-01-25 15:21:08	calendar.boston.com/search	200
www.zvents.com/salt-lake-city-ut/venues/show/46508-imax-theatre-at-the-clark-planetarium	2008-01-25 15:21:10	www.google.com/search	200
calendar.tricityherald.com/events/geocode/	2008-01-25 15:21:12	calendar.tricityherald.com/venues/new	200
