"9492","Sarah-Jayne Merrill","176","4891","1799"
"9491","Maggie Throup","178","23460","1799"
"9490","Lorely Burt","177","23635","1799"
"9489","Sunil Chaudhary","184","495","1798"
"9488","Miriam Kennet","187","542","1798"
"9487","Peter Mason-Apps","183","1517","1798"
"9486","Chris Tucker","177","6943","1798"
"9485","Diana Coad","178","16361","1798"
"9484","Fiona Mactaggart","176","21884","1798"
"9483","Mike Clayton","180","1977","1797"
"9482","Rodger Doughty","183","2163","1797"
"9481","Marianne Overton","257","3806","1797"
"9480","James Normington","176","10051","1797"
"9479","David Harding-Price","177","10814","1797"
"9478","Stephen Phillips","178","30719","1797"
"9477","Robert Leakey","294","84","1796"
"9476","Dylan Gilligan","293","95","1796"
"9475","Roger Bell","181","315","1796"
"9474","Bernard Allen","180","1403","1796"
"9473","Rodney Mills","183","1909","1796"
"9472","Claire Hazelgrove","176","5498","1796"
"9471","Helen Flynn","177","17735","1796"
"9470","Julian Smith","178","27685","1796"
"9469","David Cassidy","181","158","1795"
"9468","Mad Mike Young","190","319","1795"
"9467","Lawrence Tames","180","1305","1795"
"9466","Ian Davison","183","2610","1795"
"9465","Keith Nevols","177","7943","1795"
"9464","Angela Harrison","176","11930","1795"
"9463","Gordon Henderson","178","24313","1795"
"9462","Steve Boulding","187","808","1794"
"9461","Phil Reddall","180","1667","1794"
"9460","Sandra List","183","2432","1794"
"9459","Ian McLaughlan","176","9406","1794"
"9458","Ian Croll","177","10864","1794"
"9457","Owen Paterson","178","26692","1794"
"9456","James Gollings","194","88","1793"
"9455","Alan Whittaker","187","565","1793"
"9454","James Whittall","180","1168","1793"
"9453","Peter Lewis","183","1627","1793"
"9452","Jon Tandy","176","10915","1793"
"9451","Charles West","177","15369","1793"
"9450","Daniel Kawczynski","178","23313","1793"
"9449","Kevin Warnes","187","1477","1792"
"9448","Susan Hinchcliffe","176","14058","1792"
"9447","John Harris","177","9890","1792"
"9446","Philip Davies","178","24002","1792"
"9445","Russ Swan","181","219","1791"
"9444","Margot Parker","183","1490","1791"
"9443","James North","180","1754","1791"
"9442","Kevin Moore","177","7283","1791"
"9441","Emilie Oldknow","176","18997","1791"
"9440","Mark Spencer","178","19211","1791"
"9439","Maxine Bowler","219","656","1790"
"9438","Pat Sullivan","183","1596","1790"
"9437","John Sheldon","180","3026","1790"
"9436","John Sharp","178","4468","1790"
"9435","Jonathan Harston","177","7768","1790"
"9434","David Blunkett","176","21400","1790"
